,s,ns,vx,vy,vz,wx,wy,wz,x,y,q.x,q.y,q.z,q.w
0,1651541282,741719702,1.2873333333333334,0.0,0.0,1.2873333333333334,0.0,0.0,-10.712990671182549,31.183101330917488,0.0,-0.0,-0.9369132658122594,-0.3495619148949246
0,1651541282,788060518,1.2892,0.0,0.0,1.2892,0.0,0.0,-10.743561779936423,31.209365653324255,0.0,0.0,0.9332898099564589,0.3591241159145912
0,1651541282,814292026,1.2890666666666666,0.0,0.0,1.2890666666666666,0.0,0.0,-10.75889767067683,31.235904953525246,0.0,0.0,0.9337799399650903,0.3578477661224005
0,1651541282,873792495,1.286,0.0,0.0,1.286,0.0,0.0,-10.816306440930678,31.31701036824514,0.0,0.0,0.9293879523535772,0.36910436738140207
0,1651541282,918326353,1.2872,0.0,0.0,1.2872,0.0,0.0,-10.853025793542203,31.334751657822302,0.0,0.0,0.9246109527244994,0.38091283268208936
0,1651541283,5430715,1.286,0.0,0.0,1.286,0.0,0.0,-10.922941475099638,31.424174088916445,0.0,0.0,0.918315591277757,0.3958490555959224
0,1651541283,76208848,1.286,0.0,0.0,1.286,0.0,0.0,-10.984195022316612,31.479501584156644,0.0,0.0,0.909715201510724,0.41523276862538533
0,1651541283,163862297,1.2872,0.0,0.0,1.2872,0.0,0.0,-11.05869208633667,31.566410436032797,0.0,0.0,0.9005241898628026,0.43480591471591445
0,1651541283,198286772,1.2869333333333333,0.0,0.0,1.2869333333333333,0.0,0.0,-11.092079451145626,31.610252887086464,0.0,0.0,0.8985717330271278,0.43882666350692984
0,1651541283,256434854,1.2881333333333334,0.0,0.0,1.2881333333333334,0.0,0.0,-11.140892121142672,31.6804392497022,0.0,0.0,0.8922136755882596,0.4516135041086436
0,1651541283,289415145,1.2884,0.0,0.0,1.2884,0.0,0.0,-11.161822491483377,31.7368788173367,0.0,0.0,0.8887885240264928,0.45831753136750986
0,1651541283,329051589,1.2888,0.0,0.0,1.2888,0.0,0.0,-11.188390845941658,31.787599621276424,0.0,0.0,0.8829992546794282,0.46937438813336874
0,1651541283,414743379,1.2898666666666667,0.0,0.0,1.2898666666666667,0.0,0.0,-11.24151797661191,31.875644593653337,0.0,0.0,0.8770949551350592,0.4803170199739215
0,1651541283,448068590,1.29,0.0,0.0,1.29,0.0,0.0,-11.273916875864277,31.905023349718874,0.0,0.0,0.8720258198730051,0.4894598752449616
0,1651541283,514158788,1.2888,0.0,0.0,1.2888,0.0,0.0,-11.28546961606063,31.99421078763964,0.0,0.0,0.86621377594134,0.4996735878245378
0,1651541283,548140178,1.2888,0.0,0.0,1.2888,0.0,0.0,-11.306382280114445,32.021108927415696,0.0,0.0,0.8638985072950632,0.5036659300502285
0,1651541283,593068647,1.2886666666666666,0.0,0.0,1.2886666666666666,0.0,0.0,-11.329913416264889,32.073562858455624,0.0,0.0,0.8585583193818889,0.512715917658255
0,1651541283,633697360,1.288,0.0,0.0,1.288,0.0,0.0,-11.356920475801202,32.12069883713241,0.0,0.0,0.8531300665670213,0.5216982744071039
0,1651541283,656720825,1.2882666666666667,0.0,0.0,1.2882666666666667,0.0,0.0,-11.370178863352281,32.15243889911803,0.0,0.0,0.8527221609999402,0.5223647347779059
0,1651541283,669912026,1.2885333333333333,0.0,0.0,1.2885333333333333,0.0,0.0,-11.377994410907458,32.17658977891821,0.0,0.0,0.8510504519481314,0.5250839249480803
0,1651541283,716284454,1.2890666666666666,0.0,0.0,1.2890666666666666,0.0,0.0,-11.400015296864591,32.227776546684986,0.0,0.0,0.8462307254171212,0.5328166282690631
0,1651541283,764465217,1.288,0.0,0.0,1.288,0.0,0.0,-11.413161025955391,32.26530412402154,0.0,0.0,0.8411198010150582,0.5408488516585653
0,1651541283,817065209,1.2886666666666666,0.0,0.0,1.2886666666666666,0.0,0.0,-11.440693610738997,32.32659001728215,0.0,0.0,0.8369578761110205,0.5472673145874232
0,1651541283,957123953,1.2886666666666666,0.0,0.0,1.2886666666666666,0.0,0.0,-11.483156039615551,32.477312464206,0.0,0.0,0.8286816980268226,0.5597201473552493
0,1651541284,37389014,1.2874666666666668,0.0,0.0,1.2874666666666668,0.0,0.0,-11.532444444789645,32.605845281285994,0.0,0.0,0.8180427898599173,0.5751573645170539
0,1651541284,82089157,1.2877333333333334,0.0,0.0,1.2877333333333334,0.0,0.0,-11.560227126181015,32.662905634007736,0.0,0.0,0.814545981588517,0.5800989948948363
0,1651541284,149324886,1.2884,0.0,0.0,1.2884,0.0,0.0,-11.559386491678369,32.73296079858981,0.0,0.0,0.8147919742414436,0.579753429236715
0,1651541284,203617769,1.2874666666666668,0.0,0.0,1.2874666666666668,0.0,0.0,-11.58935639998947,32.82237769709032,0.0,0.0,0.8125731971362273,0.5828591590562936
0,1651541284,273485320,1.2858666666666667,0.0,0.0,1.2858666666666667,0.0,0.0,-11.636391440230971,32.91487653423217,0.0,0.0,0.8087387871977525,0.5881679811770685
0,1651541284,301054336,1.2868,0.0,0.0,1.2868,0.0,0.0,-11.644995595797525,32.94128371895425,0.0,0.0,0.8083275177213567,0.5887330669279838
0,1651541284,353718577,1.2857333333333334,0.0,0.0,1.2857333333333334,0.0,0.0,-11.667352061139729,33.043330472817495,0.0,0.0,0.8082196872489562,0.588881089137017
0,1651541284,404659978,1.2861333333333334,0.0,0.0,1.2861333333333334,0.0,0.0,-11.661397481278241,33.093861337483354,0.0,0.0,0.80859219817216,0.5883694902483594
0,1651541284,447153561,1.2852,0.0,0.0,1.2852,0.0,0.0,-11.681313230800358,33.14123000887919,0.0,0.0,0.8080033728878364,0.5891778588863299
0,1651541284,516994459,1.2841333333333333,0.0,0.0,1.2841333333333333,0.0,0.0,-11.690799707946333,33.16805428121444,0.0,0.0,0.8037203302613906,0.5950072526654792
0,1651541284,567983503,1.2853333333333334,0.0,0.0,1.2853333333333334,0.0,0.0,-11.707716659072199,33.235816438268586,0.0,0.0,0.8019390249731069,0.597405892358941
0,1651541284,627557755,1.2864,0.0,0.0,1.2864,0.0,0.0,-11.726373763060856,33.308594333047324,0.0,0.0,0.8003842531797486,0.5994873203512281
0,1651541284,664254254,1.2868,0.0,0.0,1.2868,0.0,0.0,-11.74133247593367,33.35701208785911,0.0,0.0,0.8002690623114478,0.5996410825711962
0,1651541284,735086396,1.2858666666666667,0.0,0.0,1.2858666666666667,0.0,0.0,-11.76736975120204,33.42324028361475,0.0,0.0,0.7960660067062718,0.6052098090470196
0,1651541284,793811724,1.2870666666666666,0.0,0.0,1.2870666666666666,0.0,0.0,-11.767388493054812,33.5250012101484,0.0,0.0,0.7966564997498196,0.6044323133373709
0,1651541284,831789385,1.2865333333333333,0.0,0.0,1.2865333333333333,0.0,0.0,-11.789154589959184,33.59942799263631,0.0,0.0,0.7969479512864563,0.6040479806607418
0,1651541284,858839581,1.2865333333333333,0.0,0.0,1.2865333333333333,0.0,0.0,-11.795211584335483,33.632590345348206,0.0,0.0,0.7972157656137379,0.6036944782395328
0,1651541284,876902824,1.2873333333333334,0.0,0.0,1.2873333333333334,0.0,0.0,-11.804900363206658,33.6654740936195,0.0,0.0,0.7967503543154777,0.6043085907863305
