,s,ns,V,delta
0,1650776527,260697006,1.063266396522522,0.0
0,1650776527,312503725,1.063266396522522,0.0
0,1650776527,362549186,1.063266396522522,0.0
0,1650776527,413210182,1.166844367980957,0.0
0,1650776527,433523471,1.2187875509262085,0.0
0,1650776527,491763465,1.2187875509262085,0.0
0,1650776527,553561017,1.166844367980957,0.0
0,1650776527,604979759,1.166844367980957,-0.0229780375957489
0,1650776527,625301400,1.166844367980957,-0.04059677571058273
0,1650776527,645999562,1.166844367980957,-0.058205027133226395
0,1650776527,676009117,1.166844367980957,-0.06876998394727707
0,1650776527,696594156,1.166844367980957,-0.06876998394727707
0,1650776527,721396001,1.166844367980957,-0.06524833291769028
0,1650776527,743945440,1.166844367980957,-0.04411842301487923
0,1650776527,763999107,1.166844367980957,-0.030021339654922485
0,1650776527,784522097,1.166844367980957,-0.012413086369633675
0,1650776527,825247846,1.166844367980957,0.0
0,1650776527,847160917,1.166844367980957,0.0
0,1650776527,886712205,1.2187875509262085,0.0
0,1650776527,937862269,1.2187875509262085,0.0
0,1650776527,990111655,1.2187875509262085,0.0
0,1650776528,47036001,1.2187875509262085,0.0
0,1650776528,98189392,1.2187875509262085,0.0
0,1650776528,149027511,1.2187875509262085,0.0
0,1650776528,179355697,1.166844367980957,0.0
0,1650776528,199645401,1.1150553226470947,0.0
0,1650776528,220739893,1.063266396522522,0.0
0,1650776528,272182027,1.063266396522522,0.0
0,1650776528,324019530,1.063266396522522,0.0
0,1650776528,373581587,1.063266396522522,0.0
0,1650776528,436084339,1.1150553226470947,0.0
0,1650776528,466767093,1.2187875509262085,0.0
0,1650776528,521614941,1.2187875509262085,0.0
0,1650776528,571315497,1.2187875509262085,0.0
0,1650776528,622990245,1.2187875509262085,0.0
0,1650776528,674346457,1.2187875509262085,0.0
0,1650776528,730785031,1.2187875509262085,0.0
0,1650776528,781772306,1.2187875509262085,0.0
0,1650776528,832458902,1.2187875509262085,0.0
0,1650776528,883099992,1.2187875509262085,0.0
0,1650776528,939876559,1.2187875509262085,0.0
0,1650776528,956223928,1.2187875509262085,0.005380264949053526
0,1650776528,973016076,1.2187875509262085,0.03355347365140915
0,1650776529,3411944,1.2187875509262085,0.030031822621822357
0,1650776529,44251230,1.2187875509262085,0.01946686953306198
0,1650776529,74594584,1.2187875509262085,0.012423567473888397
0,1650776529,126857537,1.2187875509262085,0.01594521850347519
0,1650776529,146791777,1.2187875509262085,0.012423567473888397
0,1650776529,190372409,1.2187875509262085,0.005380264949053526
0,1650776529,252511792,1.2187875509262085,0.0018586142687126994
0,1650776529,303320854,1.2187875509262085,0.0018586142687126994
0,1650776529,354090555,1.2187875509262085,0.0018586142687126994
0,1650776529,404630139,1.2187875509262085,0.0018586142687126994
0,1650776529,437563571,1.2187875509262085,0.0
0,1650776529,509850302,1.2187875509262085,0.0
0,1650776529,530976698,1.322365403175354,0.0
0,1650776529,550212265,1.2705764770507812,0.0
0,1650776529,602441009,1.2187875509262085,0.0
0,1650776529,624147419,1.2187875509262085,0.0
0,1650776529,653225623,1.2187875509262085,0.0
0,1650776529,674616313,1.2705764770507812,0.0
0,1650776529,706836032,1.2187875509262085,0.0
0,1650776529,759883196,1.2187875509262085,0.0
0,1650776529,808395307,1.2187875509262085,0.0
0,1650776529,861399878,1.166844367980957,0.0
0,1650776529,922667368,1.166844367980957,0.0
0,1650776529,943517662,1.166844367980957,0.0
0,1650776529,974737325,1.166844367980957,0.0
